# c_A,c_B,theta,theta_K
2.172237685536315688e+00,7.663074009463286096e+00,1.121616740181112277e+02,1.175954967542198801e+02
5.927942381198699096e+00,5.259039573718304439e+00,1.294165014294772789e+02,1.292234366820409832e+02
4.284061612936588936e+00,8.011532500045177585e+00,1.166737541620432097e+02,1.334124812209133779e+02
2.159123481937390121e+00,8.093358108889027847e+00,1.092337062326990917e+02,1.174582459362937783e+02
1.790293067691566486e+00,6.657952489449625588e+00,1.184461582657663712e+02,1.035131957982386268e+02
4.877511183941511952e+00,2.850431101638458031e+00,1.055319992467064480e+02,1.272922048138704980e+02
5.842185423647379139e-01,4.992098729196572826e+00,1.277650281412772841e+02,1.271510386431253323e+02
4.149644718554517553e+00,8.581843591938861593e+00,1.393270268419574904e+02,1.265001258399546060e+02
8.412135361381766430e+00,2.841160274338055736e+00,1.358314001361724195e+02,1.111251972551393976e+02
4.017185479098019485e+00,8.649445668531688725e+00,1.311469655216127705e+02,1.109028225322311130e+02
2.550062370518736632e+00,9.458395857812174512e+00,1.228256311456540573e+02,1.192066805618565866e+02
9.147360597814087058e+00,6.730770424168107446e+00,1.036042029040449961e+02,1.387217079310122188e+02
7.419747287734087315e+00,5.763291000936663799e+00,1.323068530377597938e+02,1.160358748946456160e+02
9.698333095456167285e+00,2.872601854598364035e+00,1.113071061119356955e+02,1.106817836732030287e+02
1.342414714292162303e+00,7.225856151624049595e+00,1.335332857321861297e+02,1.362789264616388323e+02
1.764870320511993551e+00,9.342626362236101656e+00,1.061822661849397633e+02,1.251691451201132992e+02
6.904998627589217897e+00,7.263805261836307814e+00,1.042174815896580213e+02,1.188330271471469501e+02
5.227502837984939532e+00,1.617989943761998894e+00,1.081716366287930668e+02,1.176038665330005273e+02
1.908285318650217111e+00,2.010119756068149854e+00,1.266699650452118391e+02,1.284557044313085896e+02
4.402118067224270348e+00,7.654160682540302574e+00,1.043141913689526916e+02,1.168608424662074441e+02
6.878268702319539685e+00,2.336952754179473679e+00,1.151589042531630582e+02,1.285140939982333066e+02
5.130372763909677225e+00,3.068578753469535236e+00,1.245859216194207022e+02,9.935626992062830709e+01
7.005530554867120507e+00,4.993899730874593601e+00,1.047945782435060949e+02,9.717173682874471297e+01
3.026387428908263288e+00,8.534209072868357282e+00,1.102901441802388405e+02,9.985059051650118533e+01
3.595053557182104953e+00,6.649803907237643585e+00,1.350678716035165792e+02,9.585438278113217336e+01
3.187360177130150518e+00,7.563185041256353713e+00,1.203648845620841144e+02,1.210460925721571925e+02
7.123962350825724599e+00,9.318178050612813124e+00,1.038394792733067362e+02,1.346456332146678108e+02
1.813910087806091420e+00,8.367691297298119224e+00,1.257100622216093768e+02,1.074023033817234136e+02
2.424761806812990361e+00,1.207883891821549760e+00,1.120159317202292755e+02,1.372449068745677039e+02
1.624543025140225083e+00,1.612085283917304990e+00,1.362614076265504650e+02,1.220520568184223151e+02
2.110318122434925669e+00,3.155502698350038493e+00,1.350075064495486856e+02,1.122611602733750544e+02
5.047918321496068117e+00,3.659413292081254543e+00,1.151529882697406464e+02,1.120192533057360436e+02
2.836566527285038664e+00,6.953698901156634804e+00,1.341081156431660304e+02,1.273072917796864516e+02
2.559104835748119644e+00,6.270366447557398359e+00,1.345304007019497874e+02,1.344057951909391591e+02
3.529621976761369684e+00,7.037256824815361966e+00,1.126024148087414005e+02,9.949801284102535703e+01
9.650121004955673598e+00,7.340786012246262260e+00,1.015527529230470236e+02,1.295993735795477164e+02
6.891010915807174619e+00,4.382234396378168917e+00,1.229549521772692344e+02,1.281245033284397152e+02
5.023398096382844180e+00,6.199998180131435888e+00,1.332614155562691280e+02,1.310918303958769684e+02
6.711780674912107614e+00,7.926504526531301664e+00,1.094417470878852470e+02,1.141113462772691776e+02
8.965601788518874571e+00,3.571362813957564608e+00,1.299721902367520840e+02,1.062663394226375431e+02
8.003470195894102801e+00,6.246785837398214802e+00,1.237537722268117761e+02,1.060730453293066660e+02
9.344351491466024839e+00,4.261466569547301297e+00,1.205068793682070236e+02,1.305220932958213211e+02
7.977504560535878753e+00,4.949437524872058347e+00,1.320885652524168847e+02,1.291372160999239043e+02
3.091538178886415800e+00,6.682183146042321997e-01,1.022375552953972857e+02,1.073985302206090466e+02
3.310501521435712746e+00,7.952211612567807286e+00,1.337621455058421702e+02,1.066007189536350666e+02
6.678747352975472396e+00,6.176345515334121572e+00,1.107625624964886981e+02,1.152670194357492193e+02
6.721044384085640422e-01,3.024601441394315637e-01,1.108937205825308041e+02,1.282265798031180282e+02
7.027885980815352873e+00,7.938904249549866954e+00,1.260374581982486291e+02,1.316639188726877308e+02
4.730559773725294015e+00,2.137925253049477448e+00,1.208428218057118357e+02,1.339076043448973508e+02
6.328826429394522002e+00,4.394918527216844062e+00,1.376096221953834515e+02,1.165164328336783228e+02
5.058946595778126110e+00,1.691004040206969039e+00,1.238617099607232603e+02,1.142208957408658421e+02
1.824065314245739478e+00,8.717902997804083398e+00,1.337496908418161752e+02,1.345686472833945686e+02
4.187354089207143915e+00,6.325261178807455309e+00,1.173975155978389182e+02,1.102245518330638703e+02
8.606933685987092630e+00,3.674065055680816538e+00,1.193784794569794485e+02,1.264114737302323164e+02
8.430282996071651880e+00,6.317888151562274679e+00,1.227191636090082909e+02,1.183840175388584584e+02
4.186824412760159042e+00,4.952260222013060265e+00,1.159284730515491617e+02,1.359136682221394494e+02
6.596607518159437689e+00,4.633219353237022275e+00,1.047019374467109856e+02,1.326487343212505436e+02
7.439047852922334059e+00,9.297443678965024105e+00,1.324547159009493384e+02,1.372336825249022922e+02
7.912632376027448622e+00,7.875831543433513104e+00,1.308382704808679762e+02,9.905675556042636742e+01
6.653243284276531000e+00,6.832394055596012095e+00,1.303289175257629040e+02,1.263460555834761720e+02
3.161803578660472791e+00,7.729319085024700442e+00,1.171545057803379848e+02,1.287111099163291215e+02
2.055318846754212281e+00,8.297266008332824239e-01,1.062331524484839917e+02,1.278054943015203264e+02
2.422663419915334959e+00,8.708076390091168406e+00,1.294038193765580331e+02,1.398892594948833334e+02
2.016179303023332814e+00,5.022383391740166125e-01,1.147778017114502234e+02,9.870138629982277223e+01
2.819203480688729169e+00,4.236919647188715388e+00,1.184077917531995041e+02,1.180726001713333915e+02
7.346672487058387269e+00,1.457909105490144963e+00,1.104047961339944521e+02,1.322180511073225375e+02
1.171202205609418678e+00,7.153077539970115417e+00,1.082851599443396253e+02,1.286972221680622113e+02
2.750595432892628978e+00,2.800111554472401565e+00,1.316148105379269850e+02,1.294043590972293316e+02
5.354986434141043361e+00,6.748300905555957740e+00,1.367605754284751356e+02,9.692505006465718509e+01
8.837741015531682010e+00,5.767325458746701550e-01,1.076827731178342731e+02,1.327639214376091559e+02
8.101060155820961839e+00,1.314683521588714044e+00,1.211106036916598185e+02,1.299194603457831363e+02
7.853057553668159052e+00,3.357041467832679427e+00,1.076377654282595557e+02,1.314387326451288516e+02
3.844282842410929324e-01,7.815368888339807363e+00,1.088372803068876635e+02,1.191043452966773231e+02
9.410101625878274589e+00,7.231792521857077993e+00,1.214888449962123502e+02,1.187276659494854982e+02
8.198592929354832748e+00,7.050137695423745576e+00,1.197632021281121695e+02,1.148373023452141410e+02
6.000231422994312780e+00,6.515757722203808555e+00,1.129939785281022324e+02,1.035878115867581499e+02
2.773173354923996747e+00,4.992419234088510294e+00,1.088197983904074704e+02,1.147832157585580148e+02
6.373607649755739679e+00,4.107375882974260151e+00,1.336474981544513980e+02,1.119990810818157172e+02
7.196198125926091649e+00,6.921559421982244054e+00,1.110795715665078234e+02,1.247280414189624906e+02
6.768047935816468019e-01,6.540074319831711058e+00,1.139372304245325154e+02,1.216578985256353462e+02
9.598088774051930727e+00,8.951590776100104563e+00,1.263015223399096953e+02,1.307008061433452326e+02
9.562248111088431202e+00,8.841846399166392700e+00,1.089134483088658385e+02,1.215209706324999388e+02
4.124958727474770548e+00,1.737912980690335063e+00,1.258716393259723390e+02,1.159771355894168750e+02
6.173151248566166593e+00,1.056369228927728221e+00,1.034540842770256717e+02,1.112838956918439379e+02
3.435330303419203979e+00,7.646414591050013421e+00,1.183114731628761831e+02,1.049735986659315756e+02
1.587895263332304019e+00,3.415044582888099978e+00,1.261914796544046311e+02,1.175684753473693007e+02
9.293338103182172460e+00,5.234475612193572935e+00,1.208466082061267599e+02,1.160337564089785189e+02
8.722827590277043797e+00,9.350484176543030657e+00,1.249547795506085919e+02,1.291421766672119702e+02
6.431956211713975691e+00,2.635267005795437711e+00,1.346240864861709952e+02,1.162500122659451165e+02
7.555454679179978150e+00,6.175941387618402167e+00,1.348380996186527909e+02,1.080552974108753403e+02
9.721297681108531208e+00,7.341006037905986048e+00,1.110703702232312367e+02,9.874613525815030357e+01
6.771625852370537935e+00,3.669802031355685834e+00,1.396805547944312309e+02,1.280122260697050365e+02
4.010190553197793051e+00,9.343111499611552517e+00,1.154932910005242377e+02,1.163975324258128126e+02
7.234961078487025521e-01,4.322267458636678938e+00,1.158163050767019087e+02,1.245920470503931483e+02
3.965071910140124167e+00,7.733651731849529476e+00,1.384544381820356023e+02,1.143392696895444942e+02
7.535404026531428379e+00,9.302259361876743071e+00,1.052477420938253090e+02,1.132841870074506687e+02
9.621781119193187237e+00,6.002305793602946693e+00,1.125078475911843299e+02,1.357523083202787575e+02
8.514852643844260882e+00,3.561748651198929916e-01,1.043924626758996226e+02,1.315516419924438765e+02
1.249808438296878599e+00,3.893276845186432134e+00,1.385403745207483439e+02,1.163091540026557738e+02
2.771537222835630310e+00,4.474528600362583930e+00,1.209590648301974625e+02,1.042626255445877206e+02
8.495436725031858316e+00,6.236830909894345076e+00,1.292109645044853607e+02,1.393516526793112291e+02
9.405975578940751092e+00,2.379700442044440312e+00,1.076037601546808844e+02,1.248589705616151662e+02
4.630919013056578493e+00,9.128829189218578222e+00,1.204944885239697356e+02,1.362421639765076407e+02
2.453995801463813020e+00,9.155376173334566658e+00,1.369337804791234134e+02,1.025429771092752702e+02
7.216959746115098717e+00,1.896404098143650074e+00,1.233604505372002649e+02,1.145818791895302837e+02
9.308112984666133016e+00,9.423764611306802763e+00,1.245836239340610803e+02,1.112120792872697166e+02
3.877637102319388518e+00,9.019572950446799187e-01,1.084619691527100684e+02,1.129409628398177148e+02
1.850035433144759267e+00,4.271543905265407504e-01,1.313795711893143903e+02,9.609576247481687972e+01
1.829823312614230701e+00,4.545117873510291950e+00,1.024044911578831716e+02,1.060847542510627477e+02
6.069133363148058180e+00,4.804148564744046723e+00,1.000135486628285832e+02,1.227780326595901101e+02
9.702622172138374523e+00,1.363593882748961983e+00,1.290032473594965268e+02,1.359848442982509198e+02
9.510074054664164223e+00,6.158860488788301168e+00,1.239654337557587240e+02,1.046555801758075148e+02
2.758507149052252139e+00,5.597913165832447469e+00,1.160018359737356235e+02,1.294230800506308867e+02
9.328889343563027126e+00,3.100169853284730159e+00,1.188499137953234026e+02,1.088067684420118866e+02
2.909598067824037404e+00,4.826194681060997915e+00,1.263890878837833611e+02,1.310443512644290820e+02
3.197030220683965585e+00,5.831878603010429707e+00,1.111884204729404075e+02,1.367290652984522410e+02
8.040365105216290331e+00,6.539206456761618824e+00,1.293863428340227983e+02,1.273413201098956620e+02
9.489937279339780929e+00,8.337805914554850872e+00,1.033586365879698121e+02,1.073642371173104237e+02
1.200117240416346487e+00,7.533083292559924260e+00,1.353850872691864993e+02,1.287146795894961997e+02
6.939790369953336757e+00,7.074589259445177802e+00,1.183149715482832818e+02,9.978820249874723913e+01
8.247568531682613724e+00,4.250186373354029712e+00,1.240892916795070846e+02,9.665069273299559427e+01
2.602857542551333392e+00,7.260890015680822041e-01,1.084204354532506329e+02,1.172615948885286912e+02
5.161802674972191252e-01,8.141618616678229614e+00,1.319526589684012379e+02,1.264433012560698728e+02
2.292826853814101451e+00,1.049762190701143405e+00,1.024159106635062955e+02,1.319876355265622294e+02
9.099738791051805720e+00,9.619812533610334171e+00,1.286400898211223307e+02,1.342739889993275710e+02
9.227183955323246423e+00,6.655252478143103723e+00,1.023432054235904616e+02,1.152355834219877835e+02
5.353335936358747382e+00,8.944931894837099051e+00,1.269950611435942136e+02,1.283258532425975602e+02
2.828681555490398236e-01,3.865266050238615581e+00,1.069902172753857172e+02,1.179029000740369781e+02
7.820248626301985695e+00,5.968708810533862597e+00,1.285770428287189020e+02,9.534013093413039996e+01
2.303094225413359730e+00,3.447584663484057010e+00,1.068885535385368826e+02,1.263774677682689571e+02
8.244192897019686939e+00,3.075583874151523456e-01,1.301237562735112760e+02,9.551313867145466929e+01
3.827411294421380727e+00,3.770231016557795467e+00,1.109460084717626529e+02,1.148395497360905892e+02
1.935965702814820277e+00,8.690650141619375990e-01,1.398838934951859301e+02,1.188324062478418881e+02
4.261111181241662216e+00,2.646031169729138988e+00,1.042382997462793242e+02,1.381131205026406690e+02
1.239570338308296549e+00,6.943985325108800843e+00,1.081442725289167868e+02,1.039231576010704146e+02
6.970865805932688453e+00,9.691901177947617185e-01,1.301476993936699955e+02,9.885500469643572785e+01
7.638314923146281465e+00,8.299175238546759203e+00,1.123734543786430180e+02,1.339193642088912384e+02
1.990827573479687862e+00,3.353832274289380244e+00,1.065062512590941708e+02,1.111995619766331629e+02
4.681925941948241743e+00,5.767235302689534215e+00,1.227196544996957925e+02,1.085044408792386008e+02
7.642625954151757384e+00,9.639229411486770260e+00,1.370105729392841454e+02,1.083958341855802985e+02
7.189370673547899493e+00,2.478319567972647519e+00,1.035286219093810018e+02,1.300423294464716832e+02
7.790736076485886841e-01,6.975986678272672492e+00,1.085851733293703774e+02,1.119094095918600402e+02
7.486100577194195971e+00,5.186948595370771464e+00,1.370885150176291347e+02,1.201899417413978739e+02
4.853252130230787387e+00,6.608060498565436092e+00,1.391508177779165294e+02,1.030239947521106956e+02
8.998865140959828590e-01,1.295332696996338129e+00,1.271814940522764914e+02,1.083966230298991889e+02
3.457548729685667510e+00,1.313263187044178659e+00,1.055531399455345252e+02,1.191903032512190919e+02
7.524027698203386016e-01,6.182419158836975903e-01,1.187935470304805534e+02,9.630178552299955186e+01
2.431360359924865655e+00,8.123061922321197503e-01,1.047323088402230979e+02,1.179203941969818317e+02
4.398193991316149187e+00,8.349858192500425602e-01,1.092477439385403670e+02,1.346672981262270241e+02
3.275938547130214928e+00,5.437579479153418660e+00,1.386633113360328480e+02,1.313806660762159595e+02
3.565219350314938751e+00,8.491886343248348012e+00,1.096989598329908233e+02,1.035459323187089069e+02
1.808886072478323337e+00,6.096947894784209510e+00,1.300982508797373782e+02,1.296278622172931705e+02
8.296839722015780794e+00,7.953489911303453397e+00,1.186572770597997106e+02,1.304550015916891539e+02
3.064414392255192521e+00,8.312957105346855613e+00,1.267193553308031824e+02,1.393974982896738197e+02
6.279960202037385031e+00,4.759489036022015895e+00,1.235905949822151513e+02,1.336159157543744982e+02
7.114527509547205142e+00,7.609879449375214655e+00,1.063969913189950489e+02,1.274271611080841069e+02
7.831463632756496374e+00,1.005229218092798416e+00,1.118834158379507073e+02,1.167576195192294222e+02
3.352285448809050550e+00,3.938970082332015288e+00,1.144772427131342312e+02,1.323862353704807902e+02
7.172588414622164343e+00,9.552059038650298817e+00,1.007312270213267880e+02,9.572451636229108374e+01
5.205628235823872352e+00,5.521427784271411454e+00,1.240130472910374806e+02,1.181905210901484651e+02
6.082442722180086747e+00,9.099759925074323519e+00,1.279447668410308552e+02,1.282163245288892881e+02
4.235690975303485040e+00,4.718559384709312354e+00,1.000105192020195659e+02,1.166596374792141546e+02
1.147384094560556900e+00,2.980114367711734769e+00,1.132283849638032933e+02,1.251075823739866877e+02
1.019018841771868189e+00,7.807316200897922442e+00,1.355568449416668955e+02,1.338698102194772730e+02
6.812255335363382791e+00,5.271281101663847224e+00,1.399715708732605322e+02,1.006806208111212868e+02
6.511092726725722812e+00,6.539097227086362984e+00,1.256439381001196125e+02,1.397083130955792285e+02
5.085104368575491307e+00,5.934588581177786537e+00,1.278104498678466143e+02,1.132210438943198767e+02
9.260848887699555831e+00,4.495431356828378244e-01,1.005572172248802332e+02,9.625847956311631037e+01
2.357810155208178049e+00,6.426895196861627468e+00,1.199684832897787032e+02,1.359974807899558868e+02
6.106135591158961873e+00,4.464379913400522426e+00,1.081563919613984126e+02,1.156621858008395236e+02
4.792006730184954932e+00,7.590184964035809223e+00,1.350379340576535299e+02,1.348584708279258848e+02
2.719987157583517501e+00,1.282933053644458532e+00,1.337564363309649309e+02,1.392293375895650911e+02
8.701756490265950106e+00,1.786231065631147530e+00,1.384778945179782852e+02,1.071782173433061303e+02
8.574663626003436789e+00,4.899699330370586914e+00,1.110079792501373106e+02,1.289845787746474741e+02
1.773483157788169118e+00,1.722089903867523919e+00,1.124007129967286858e+02,1.399849503944498395e+02
1.210145977612765211e+00,8.985359120922186804e+00,1.034010800162646717e+02,1.215930619484924762e+02
8.425371569656126880e+00,5.489576426676667786e-01,1.356793909588569989e+02,1.289330190941579701e+02
6.102637901758720673e+00,2.326973028299974100e+00,1.238926703671644702e+02,1.073708926800023704e+02
2.365300587165948709e+00,7.735256747043732339e+00,1.286468935818918453e+02,1.007197601815190495e+02
9.669064370635275907e+00,8.171979491224421466e+00,1.192065634776709828e+02,1.004711017589794011e+02
1.818053331788248572e+00,3.157642574147170866e-01,1.012859477358178282e+02,1.137966296983278909e+02
6.202183918459845735e+00,6.986020246379430532e+00,1.301492918234857825e+02,1.160822595303265103e+02
4.378367761487550247e+00,1.125986119693893839e+00,1.208633349447854357e+02,1.238098245788325755e+02
2.911890801660892425e+00,2.740945644849938301e+00,1.264935097312967685e+02,9.726826197536020402e+01
7.652354825457913456e+00,8.116279884582539239e+00,1.397318878666374928e+02,9.973845691731257546e+01
9.079336546954502651e+00,9.007231285000617760e+00,1.024245138610136365e+02,9.882853092773396497e+01
5.960427947992620545e+00,6.840226739862563576e+00,1.217227881263172264e+02,1.220649377641703381e+02
5.500232406658158268e+00,7.837464693188238130e+00,1.136358889410312969e+02,1.214858351359515893e+02
2.800406953842485613e+00,2.678327494252605412e+00,1.269586600576025432e+02,1.000216998711929790e+02
3.829244767975505948e+00,6.199729469292702078e+00,1.130535464602216535e+02,1.367433210519220665e+02
7.450366963225270034e+00,7.441383834526940078e+00,1.301972045946574781e+02,1.180493145290976145e+02
2.211669355506200141e+00,8.468877483227905678e-01,1.375536897532732326e+02,1.168713096216093277e+02
1.569565324773289694e+00,2.161702383305228903e+00,1.375481769941626453e+02,1.099691752736043497e+02
3.321687346482977254e+00,8.123984449934033236e+00,1.238145220359412946e+02,1.324828746941883821e+02
8.853690227952201397e+00,8.342041188998132739e+00,1.215576357841443098e+02,1.288520226789613616e+02
7.803230678212972116e+00,8.406163684139576375e+00,1.189143462699125564e+02,1.203794651181803630e+02
9.599352388463652019e+00,2.285222411625521310e+00,1.128873374257945983e+02,1.314480738414856660e+02
7.286692003050728950e+00,4.563925930358642802e+00,1.218016866015759661e+02,1.235034020570583095e+02
2.805679399734137824e+00,5.529245312584867733e+00,1.334658490622087470e+02,1.209972772129346055e+02
2.162547438951473389e+00,8.666382246453611771e+00,1.056790781773571553e+02,1.225569486563113344e+02
7.688409272915146531e+00,9.680836708593647089e+00,1.148164615680701388e+02,1.247094537829170804e+02
1.394905291002156433e+00,3.282355161358716522e+00,1.154487935743210869e+02,9.613712646724303568e+01
8.858180735154485674e+00,3.183886216010111347e+00,1.373720438667938026e+02,1.107975942235877511e+02
8.048544618304505960e+00,6.966668447993182411e+00,1.380940059152745505e+02,1.301583054221412397e+02
8.226546654724696594e+00,2.712598257036154870e+00,1.187444956745286078e+02,1.328368098714040286e+02
2.046954805604023431e+00,1.703170048404815784e+00,1.306606722985883096e+02,1.350645349166430549e+02
3.928423994069463632e+00,5.583298301864461077e-01,1.275035984191512028e+02,9.737775365573727981e+01
8.730337481851382364e+00,1.185838675389001118e+00,1.336700421473001654e+02,1.287826538593530472e+02
3.061425926969914890e+00,7.256206716042878035e+00,1.049428426519260995e+02,1.340401048948926075e+02
4.636078269583402189e+00,7.177495578357484973e+00,1.262319937435890154e+02,1.369321468549443352e+02
2.688917288839403064e+00,6.024415995483335173e+00,1.063540589761507249e+02,1.128018032827117167e+02
3.867545590385003784e+00,7.280671989682002687e-01,1.044810732819544086e+02,1.087069341965940481e+02
7.731753682105973802e+00,1.282944705468232582e+00,1.089704840324153707e+02,9.545899050627529903e+01
7.758738929480240465e+00,8.584804637514007908e+00,1.069034191614046989e+02,9.684128979172319873e+01
2.724314594053735661e+00,8.296675078854175212e+00,1.169989322010403896e+02,1.000454820552600665e+02
9.401544259195939723e-01,6.592522750233318796e+00,1.148771055085397705e+02,1.254194206591227641e+02
6.608312452932702641e+00,9.711250261482851087e+00,1.125806569224005358e+02,1.394707818154926713e+02
9.301722764467198701e+00,1.600938592449717035e+00,1.106331727164887582e+02,1.327945431257836333e+02
5.067755376391764877e+00,9.699085893488947008e+00,1.288780165321351205e+02,1.063076117703326133e+02
6.289159637983203766e+00,7.379398785144626771e+00,1.385422712305571338e+02,1.091612254213629711e+02
6.182034772062502626e+00,1.799636617113393511e+00,1.314950317806057853e+02,1.248053347087411282e+02
8.800390040511174572e-01,2.937433509032612022e+00,1.355048618858993734e+02,9.842950020613716333e+01
4.891586318796508515e+00,9.096169410236825126e-01,1.342270680088353174e+02,1.004569990885354542e+02
5.249945456239992758e+00,2.565602057275158110e+00,1.133494220728102562e+02,1.239964882587037778e+02
8.453845522317275041e+00,8.891766650649998383e+00,1.384100751406932659e+02,1.213892635504208499e+02
8.680074345006143943e+00,7.615299988059277325e+00,1.326018307810809063e+02,1.375185787670908439e+02
1.321134240491259604e+00,2.533908609095879783e+00,1.376049959217236278e+02,1.077359152588261964e+02
3.981023690441988006e+00,4.946551570501052986e+00,1.367860076130683353e+02,1.287975044174186792e+02
8.777100355751153993e-01,4.637482974648856171e+00,1.100902016632195171e+02,1.265666416084698795e+02
5.838432167095560565e+00,3.968138850157694630e+00,1.326278368385010538e+02,1.138216332840291187e+02
7.503291675100568270e+00,5.690008364594380197e+00,1.286521874306637017e+02,1.112983037180519972e+02
4.745347634818021021e+00,2.622185801864366006e+00,1.382498785701659472e+02,1.244970406760252928e+02
4.563101083411705616e+00,5.405631579334002623e+00,1.050476866031731333e+02,1.149279115641237752e+02
5.821903768836878434e+00,2.818635471169154805e+00,1.000003426178931250e+02,1.162926525175396506e+02
6.066806696933277010e+00,4.867243323111417830e+00,1.208263933703039754e+02,1.323501190481574383e+02
6.335140550265972337e+00,1.276335417089605739e+00,1.029755092027384649e+02,1.321102429612537321e+02
9.740283410393921315e+00,9.471493520969724855e+00,1.194379062962134981e+02,1.137612712607716929e+02
8.973950153162357779e+00,8.745513831441691366e+00,1.234353778746746713e+02,1.049847138903096493e+02
4.099217892837224042e+00,2.628539671051295379e+00,1.097805733563676114e+02,1.231056994817451482e+02
3.315608920466007525e+00,2.151178958635057370e+00,1.295646301106438329e+02,1.133617840203325784e+02
9.320935251951439682e+00,6.490689106236924300e-01,1.145418061432550587e+02,1.110534079516758936e+02
4.508250190439687444e+00,6.612435226607692229e+00,1.038199342330901516e+02,1.215516801911708455e+02
2.139277885873425600e+00,4.363358488271505742e+00,1.315763867902354605e+02,1.281158055522656980e+02
5.344412719971930237e+00,4.567563533796624498e+00,1.215905387233452473e+02,9.863942260550228980e+01
8.329148978262068681e+00,7.795284930322401884e+00,1.389502157785943268e+02,9.925234164784347968e+01
2.939920324931058371e+00,6.313920573846202977e+00,1.216607606516624003e+02,1.112293741160395228e+02
8.005584900833500939e+00,2.352590358862514552e+00,1.267234607847243950e+02,1.391866062407723348e+02
8.832843022217563345e+00,9.625096160836926984e+00,1.004986964534328848e+02,1.011648867251273600e+02
7.444390184793606480e+00,4.746306348147907528e+00,1.249810537539424047e+02,1.156525399264197489e+02
4.378315455719732796e+00,3.865642470057009117e+00,1.107451629332371397e+02,1.291843136443178537e+02
1.029058166182049039e+00,2.970785635943972824e+00,1.109651589518313841e+02,1.207370518421103753e+02
9.720481229063059558e+00,7.043927705181011412e+00,1.005296092605110658e+02,1.355854805477079026e+02
6.734992806427766432e+00,3.568062338481793327e-01,1.360791601476321659e+02,1.179313116648875450e+02
5.114173165924799092e-01,5.587235991910389110e+00,1.205099902011474882e+02,1.179226696121312727e+02
8.686166416162578230e+00,9.463721599308005494e+00,1.060985878690843549e+02,9.813841847166295906e+01
